County,State,Distance
Curry County,NM,218.09073
Custer County,ID,217.91798
Mcpherson County,SD,217.90929
Chester County,TN,217.89624
Harding County,NM,217.35751
Brule County,SD,217.24007
Harper County,OK,216.59447
Poinsett County,AR,216.47578
Allen County,KY,216.244
Seminole County,OK,215.90785
Dewey County,OK,215.86932
Kane County,UT,215.83391
Loving County,TX,215.83205
Greeley County,KS,215.5661
Phillips County,KS,215.37534
Overton County,TN,215.20322
Delaware County,OK,214.87886
Hamilton County,KS,214.85959
Lane County,KS,214.73595
Emmons County,ND,214.70053
Garvin County,OK,214.6098
Wayne County,UT,214.5806
Esmeralda County,NV,214.53586
Benton County,AR,214.12202
Trego County,KS,213.95302
Okmulgee County,OK,213.37825
Finney County,KS,213.34158
Jeff Davis County,TX,213.22476
Seward County,KS,213.19618
Keya Paha County,NE,212.61148
Door County,WI,212.4263
Stone County,MO,212.31819
Wayne County,KY,211.92238
Beadle County,SD,211.79375
Prince Of Wales-Hyder Census Area,AK,211.78464
Crittenden County,AR,210.97852
Rooks County,KS,210.93501
Haskell County,KS,210.79893
Clinton County,KY,210.79707
Sheridan County,ND,210.57648
Keith County,NE,210.2341
Jerauld County,SD,209.84451
Towner County,ND,209.81096
Perkins County,NE,209.7948
Malheur County,OR,209.39215
Woodward County,OK,209.29521
Fentress County,TN,209.22189
Morton County,ND,208.66017
Simpson County,KY,208.64526
Chase County,NE,208.54398
Taney County,MO,208.14444
Dundy County,NE,207.98723
Perry County,TN,207.72749
Howell County,MO,207.54047
Craig County,OK,207.34349
Beaver County,UT,206.96693
Davidson County,TN,206.84204
Okfuskee County,OK,206.59784
Shawano County,WI,206.28094
Metcalfe County,KY,206.24179
Grady County,OK,206.21446
Gregory County,SD,206.04918
Wright County,MO,205.53778
Payette County,ID,205.49055
Rogers County,OK,205.30167
Yakutat Borough,AK,205.19234
Hale County,AL,204.50009
Lawrence County,AR,203.9595
Rutherford County,TN,203.95888
Lincoln County,WI,202.97028
Phillips County,MT,202.64717
Furnas County,NE,202.37686
Loup County,NE,202.35886
Washington County,ID,202.31163
Wagoner County,OK,202.26564
Dekalb County,TN,202.21407
Mccreary County,KY,201.64799
Escambia County,AL,201.40007
Valley County,ID,200.83525
Portage County,WI,200.24309
Shannon County,MO,199.88206
Limestone County,AL,199.09044
Piute County,UT,198.51256
Bedford County,TN,198.38643
Cavalier County,ND,198.33485
Catron County,NM,198.29507
Putnam County,TN,198.15341
Marengo County,AL,197.76132
Madison County,TN,197.13188
Monroe County,AL,197.05794
Lincoln County,ID,197.03806
Haywood County,TN,196.99455
Gooding County,ID,196.6851
Tipton County,TN,196.65715
Burleigh County,ND,196.64223
Eddy County,NM,196.62857
Adair County,KY,196.26755
Brown County,NE,196.12029
Lincoln County,TN,196.10847
Morrill County,NE,195.51196
Robertson County,TN,195.48648
Edmonson County,KY,195.04655
Garfield County,NE,194.82472
Dickson County,TN,194.44693
Hot Springs County,WY,194.43388
Warren County,KY,193.97966
Decatur County,TN,193.49809
Tuscaloosa County,AL,193.32909
Adams County,ID,193.2334
Blaine County,OK,192.71516
Boone County,WV,192.18327
Pottawatomie County,OK,192.17644
Cullman County,AL,191.81046
Moore County,TN,191.80362
Garfield County,MT,191.68369
Henderson County,TN,190.5006
Escambia County,FL,190.45151
Cheatham County,TN,190.37881
Logan County,KY,190.34091
Wells County,ND,189.93701
Warren County,TN,189.88792
Niobrara County,WY,189.6835
Barren County,KY,189.54803
Barry County,MO,189.35603
Harlan County,NE,189.32062
Cannon County,TN,189.26904
Apache County,AZ,189.21933
Brown County,SD,188.70483
Gray County,KS,188.61847
Smith County,KS,188.42026
Mcclain County,OK,187.10107
Greene County,AR,186.79909
Sanborn County,SD,186.64375
Prairie County,MT,186.56111
Osborne County,KS,186.38153
Webster County,MO,186.366
Chaves County,NM,186.36476
Pulaski County,KY,186.24297
Randolph County,AR,186.11745
Benson County,ND,186.09259
Mcintosh County,ND,185.34447
Lincoln County,OK,184.95735
Inyo County,CA,184.8306
Sherman County,KS,184.42484
Walker County,AL,184.26514
Ness County,KS,183.97496
Humphreys County,TN,183.94513
Gosper County,NE,183.57294
Langlade County,WI,183.55615
Whitley County,KY,183.02551
Clay County,WV,182.93355
Wilcox County,AL,182.83226
Wood County,WI,182.6067
Tulsa County,OK,182.26247
Ellis County,KS,182.1736
Sioux County,NE,182.08289
Aurora County,SD,182.06549
Converse County,WY,181.95427
Mcdonald County,MO,181.92319
Hodgeman County,KS,181.91388
Roseau County,MN,181.79146
Russell County,KY,181.71877
Kewaunee County,WI,181.19557
Custer County,NE,181.12598
Ottawa County,OK,180.9899
Menominee County,WI,180.91409
Wallace County,KS,180.91098
White County,TN,180.85133
Navajo County,AZ,180.73203
Cumberland County,TN,180.72084
Clark County,SD,180.67548
Cheyenne County,KS,180.19765
Osage County,OK,179.84409
Deuel County,NE,179.57317
Christian County,MO,179.36501
Lincoln County,WV,179.12703
Marathon County,WI,179.09471
Rock County,NE,178.85051
Meade County,KS,178.82628
Twin Falls County,ID,178.49136
Dawson County,NE,178.103
Waupaca County,WI,178.00047
Lawrence County,MO,177.76933
Sweetwater County,WY,177.04977
Kingsbury County,SD,176.75027
Green County,KY,176.74841
Perry County,AL,176.54771
Lincoln County,MN,176.37497
Crockett County,TN,176.31842
Canadian County,OK,175.91765
Jerome County,ID,175.65915
Daggett County,UT,174.98309
Santa Rosa County,FL,174.95514
Logan County,WV,174.82713
Quay County,NM,174.76189
Cleveland County,OK,174.7476
Creek County,OK,174.65813
Sauk County,WI,174.62332
Iron County,UT,174.48103
Deuel County,SD,173.99947
Colfax County,NM,173.86836
Mclean County,KY,173.77515
Marquette County,WI,173.77205
Charles Mix County,SD,173.31845
Lauderdale County,TN,173.28862
Johnson County,WY,171.811
Grayson County,KY,171.73581
Waushara County,WI,171.57053
Coffee County,TN,171.30893
Humboldt County,NV,170.41167
Laclede County,MO,170.27684
Clark County,KS,170.16437
Butler County,KY,169.98604
Prowers County,CO,169.35161
Hinsdale County,CO,168.98749
Conecuh County,AL,168.90298
Hart County,KY,168.62337
Gibson County,TN,168.44441
Ramsey County,ND,168.29218
